Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Dave Howe,£0,1.36,59,Gibraltar Football League,,,,3.98,0.89,76,,,0.08,,0,,0,0.01,20%,1.67,0.16,11%,7.74,0.89,11%,17,12.2km,1.99,33.8,28.47,13.4,18.58,3.56,0.16,0.26,0.05,0.31,1.1,2.09,11.67,1.73,2.83,0.05,42%,2.93,88%,84%,10.36,0.1,0.31,1.73,0.1
Int,  ,Marcus Valgma,£0,0.85,58,Gibraltar Football League,,,,5.98,1.21,64,,,0.06,,0.03,,0.03,0.1,0%,3.83,0.47,16%,7.38,1.21,16%,13,12.5km,1.12,36.69,29.78,12.51,15.31,3.27,0,0.28,0,0.75,1.21,2.33,9.06,0.93,1.49,0.47,64%,1.49,94%,81%,7.75,0.09,,1.31,0.19
,  ,Michael Borge,£0,0.89,47,Gibraltar Football League,,,,6.01,0.79,107,9%,800.5,0.03,,0.08,0.11,0.08,0.06,18%,2.75,0.28,25%,3.04,0.79,26%,14,12.6km,0.28,45.93,39.07,16.02,17.43,4.72,0.51,1.24,0.22,0.51,2.7,1.97,13.72,1.29,2.53,0.17,46%,2.42,88%,85%,7.53,0.28,0.11,1.29,0.06
,  ,Daniel Bruchajzer,£0,1.57,74,Gibraltar Football League,,,,7.64,0.23,168,,,0.02,,0.13,,0.13,0.1,18%,4.19,0.86,8%,2.59,0.23,9%,5,12.4km,0.41,47.28,42,10.74,14.24,4.73,0.36,1.27,0.23,0.32,1.5,1.68,12.38,1.09,2.37,0.14,55%,2.14,80%,89%,7.1,0.18,0.09,1.09,0.05
,  ,Cian Browne,£0,0.73,39,Gibraltar Football League,,,,5.92,0.57,62,,,0.1,,0,,0,0.05,100%,3.72,0.29,22%,2.58,0.57,22%,6,11.9km,0.86,48.01,40.85,10.4,14.41,5.92,0,0.1,0.1,0.86,1.91,2.29,7.54,1.15,2.29,0.38,63%,2,75%,85%,6.68,0.1,0.1,1.24,0.1
,  ,Carl Featherstone,£0,1.1,82,Gibraltar Football League,,,,6.61,0.22,120,,,0.06,,0.02,,0.02,0.18,0%,5.39,0.33,8%,2.7,0.22,8%,4,12.7km,0.72,45.8,38.7,14.48,11.28,5.45,0,0.11,0,1.21,1.16,2.48,26.37,1.1,2.31,1.21,82%,2.37,75%,84%,7.93,0.28,0.06,1.1,
,  ,Michael Rogers,£0,0.95,39,Gibraltar Football League,,,,7.03,0.62,45,,,0.03,,0,,0,0,,4.69,0.78,50%,1.25,0.62,50%,4,11.7km,0.16,48.28,40.94,6.41,8.75,3.75,0,,,0.31,2.19,1.41,7.34,0.47,1.09,1.25,67%,1.09,78%,85%,5,0,,0.47,
,  ,Bernardo Ramirez,£3.5K  £10K,2.21,81,Gibraltar Football League,,,,5.83,0.75,70,7%,540,0.08,,0.25,0.17,0.25,0.11,26%,2.33,0.17,18%,4.17,0.75,18%,9,12.6km,1.75,44.17,37.42,11.92,12.17,4.25,0.92,2.25,0.58,0.33,2,2.67,15.75,0.92,2,0.33,40%,2,77%,85%,6.08,0,,0.92,0.25
,  ,Kyrylo Tarasov,£1.5K  £5K,1.84,69,Gibraltar Football League,,,,7.22,0.21,211,20%,"2,632.00",0.07,,0.02,0.03,0.02,0.1,20%,5.09,0.65,7%,2.63,0.21,8%,6,12.3km,0.31,47.39,38.84,13.58,15.08,5.74,0.1,0.17,0.03,0.82,2.05,1.88,8.04,0.89,1.95,0.07,71%,2.6,94%,82%,6.91,0.07,0.14,0.89,0.03
,  ,Joachim Ostheider,£2K  £6K,1.96,73,Gibraltar Football League,,,,7.76,0.82,190,6%,"1,102.00",0.05,,0.19,0.08,0.19,0.15,13%,5.96,0.86,24%,3.35,0.82,24%,20,12.5km,0.53,46.55,39.65,13.8,14.5,5.1,0.33,1.31,0.16,0.53,1.39,1.63,11.8,0.86,2.37,0.29,77%,2.82,83%,85%,7.02,0.12,0.16,0.86,0.16
U23,  ,Diferdio Misidjan,£0,0.53,68,Gibraltar Football League,,,,6,0.58,83,,,0.12,,0.02,,0.02,0.06,0%,3.54,0.43,25%,6.07,0.72,12%,8,11.8km,1.08,45.18,39.25,10.7,12.51,4.63,0.22,0.36,0,1.45,2.17,1.81,15.61,0.51,2.02,1.66,59%,2.39,92%,87%,7.37,0.07,0.22,0.51,
,  ,Michael Bell,£500  £2K,1.67,66,Gibraltar Football League,,,,5.46,0.84,124,,,0.1,,0.01,,0.01,0.07,20%,2.91,0.48,21%,3.83,0.84,22%,19,12.3km,0.57,47.4,41.5,14.19,15.11,5.51,0.09,0.22,0.04,0.44,1.45,1.98,12.03,1.23,2.82,0.84,53%,3.08,82%,88%,7.84,0.09,0.18,1.23,
,  ,Rhys RobertsMillington,£0,0.29,43,JD Cymru Premier,,,,4.98,0.19,78,10%,"1,411.00",0,,0.07,0.06,0.07,0.11,10%,2.1,0.19,6%,3.06,0.19,6%,3,12.4km,0.51,46.63,40.31,15.95,16.14,4.46,0.19,0.64,0.06,0.64,1.15,2.3,7.85,0.64,1.59,0.13,42%,1.66,93%,86%,6.19,0.06,,0.64,
