Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Frederik Post,£110K  £350K,1.14,102,Swedish Premier Division,,,,5.43,0.43,76,,,0.08,,0,,0,0,,3.43,0.43,20%,2.14,0.43,20%,6,12.8km,0.86,46.14,38.57,14.79,13.07,5.29,0,,,1.07,1.29,2.07,14.07,0.79,2.29,2,63%,2.14,70%,84%,8.57,0.14,,0.79,
Wnt,  ,Arvin DavoudiKia,£475K  £1.4M,1.46,113,Swedish Premier Division,,,,5.92,0.23,77,,,0.08,,0.07,,0.07,0.14,33%,3.62,0.23,9%,2.54,0.23,9%,3,13.5km,1.54,44.38,39.15,15,14,5.38,0.15,0.46,0.15,0.92,2,2.38,13.62,1.08,2.31,0.69,61%,3.38,81%,88%,8.69,0.15,,1.08,
,  ,Kalle Stregart,£65K  £200K,1,96,Swedish Premier Division,,,,7.09,0.42,84,,,0.02,,0.01,,0.01,0.15,0%,4.47,0.34,17%,2.45,0.42,17%,5,12.4km,1.27,45.08,37.49,14.35,18.91,5.23,0,0.08,0,0.76,1.35,3.04,11.14,1.27,1.52,0.59,63%,1.77,88%,83%,6.84,0.17,0.08,1.27,
Wnt,  ,Matej Tuka,£275K  £850K,1.29,117,Swedish Premier Division,,,,5.76,0.43,80,20%,"1,250.00",0.05,,0.03,0.07,0.03,0.08,20%,4.1,1.01,15%,2.81,0.43,15%,6,12.9km,0.86,47.59,41.33,14.18,11.45,5.98,0.07,0.36,0.07,0.5,1.44,2.59,14.69,0.86,2.3,0.86,71%,3.1,98%,87%,9.5,0.14,0.07,0.86,
,  ,Ramon Hendriks,Not for Sale,1.8,117,Swedish Premier Division,,,,7.43,0,72,,,0.12,,0,,0,0,,5.88,0.93,,0.21,0,0%,0,10.8km,0.21,55.94,53.05,4.44,3.2,4.13,0,,,0.41,1.34,1.75,16,0.41,1.34,0.41,79%,0.93,60%,95%,3.1,0.52,0.1,0.41,0.1
,  ,Sebastian Wändin,£12K  £40K,1,99,Swedish Premier Division,,,,7.78,0.68,91,11%,"1,053.00",0.02,,0.09,0.09,0.09,0.12,11%,4.36,0.68,20%,3.33,0.68,21%,8,12.3km,1.97,46.15,40.68,14.53,16.32,5.38,0,0.77,0.09,0.85,1.88,2.31,11.11,1.03,1.97,0.85,56%,1.54,72%,88%,8.97,0.09,0.09,1.03,
Wnt,  ,Louis Kolbe,£28K  £85K,0.97,105,Hungarian Division I,,,,4.38,0.16,135,,,0.07,,0.09,,0.09,0.13,5%,2.59,0.23,8%,1.85,0.16,9%,5,12.2km,0.75,46.02,40.83,13.39,16.09,5.29,0.13,0.68,0.03,0.49,1.43,1.98,11.38,1.14,2.4,0.45,59%,2.59,76%,89%,8.5,0.16,0.06,1.14,0.03
,  ,Karel Juřena,£140K  £425K,2.1,110,Hungarian Division I,,,,4.97,0.47,32,,,0.01,,0,,0,0,,3.72,0,15%,2.95,0.47,16%,3,12.2km,0.78,48.1,43.91,14.12,17.53,5.59,0,,,1.09,1.24,1.86,11.17,0.62,2.33,0.47,75%,2.48,84%,91%,5.9,0.16,,0.62,
Wnt,  ,Pasquale Rossi,£3.5K  £10K,1.46,103,Hungarian Division I,,,,3.8,0.04,101,,,0.06,,0.05,,0.05,0.07,17%,1.88,0.11,1%,2.14,0.04,2%,1,11.4km,1.13,44.12,36.86,12.3,13.92,4.93,0.26,0.68,0.11,0.53,1.84,1.81,11.85,1.17,2.29,0.6,50%,2.71,94%,84%,7.11,0.23,0.23,1.17,0.15
,  ,Juan Rodríguez,£240K  £750K,1.19,99,Hungarian Division I,,,,6.09,0.07,168,,,0.09,,0.08,,0.08,0.21,18%,3.88,0.47,28%,0.25,0.07,29%,2,11.2km,0.18,54.89,48.36,6.46,5.44,3.77,0.04,0.4,0.07,0.83,1.27,1.56,14.15,0.44,1.34,0.54,64%,1.27,76%,88%,3.66,0.22,0.22,0.44,0.07
Wnt,  ,Enzo Tchato,£800K  £2.4M,1.43,112,Hungarian Division I,,,,5.84,0.37,187,5%,"2,881.00",0.06,,0.07,0.03,0.07,0.11,30%,3.59,0.44,13%,2.78,0.37,13%,12,12.1km,1.03,46.52,40.39,15.4,10.65,5.22,0.06,0.62,0.19,0.75,1.62,2.37,13.06,0.84,2.53,1.09,61%,2.59,76%,87%,8.06,0.19,0.12,0.84,0.09
Wnt,  ,Paupol Kazadi,£950K  £2.8M,1.47,125,Swedish Premier Division,,,,4.2,0.27,63,20%,"1,350.00",0.06,,0.05,0.07,0.05,0.15,20%,1.67,0.27,11%,2.33,0.27,11%,4,13.0km,1.2,46.73,41.67,17.53,13.2,5.73,0,0.33,0.07,1.2,1.67,2.07,11.87,1.13,3.67,0.6,40%,3.67,79%,89%,8.6,0.27,0.07,1.13,
Wnt,  ,Jai Semenyo,£275K  £800K,0.66,99,Hungarian Division I,,,,4.26,0.27,111,6%,"2,345.00",0.07,,0.07,0.04,0.07,0.1,11%,2.57,0.12,13%,2.8,0.46,16%,7,12.4km,1.11,46.75,38.76,13.97,15.93,5.8,0.23,0.69,0.08,0.88,1.46,2.61,10.17,0.88,2.38,0.69,60%,2.46,82%,83%,7.48,0.23,0.12,0.88,0.04
,  ,Max Larsson,£500K  £1.5M,1.29,105,Swedish Premier Division,,,,5.17,0.31,66,8%,"1,149.00",0.12,,0.11,0.08,0.11,0.11,54%,2.19,0.47,8%,3.52,0.31,9%,4,12.5km,0.94,43.32,36.42,13.79,13.71,4.62,0.31,1.02,0.55,0.47,1.57,1.33,10.42,0.94,2.04,0.39,42%,2.04,70%,84%,6.66,0.16,0.23,0.94,
,  ,Ben Engdahl,£240K  £700K,1.29,106,Swedish Premier Division,,,,3.71,0.29,52,10%,"1,260.00",0.19,,0.05,0.07,0.05,0.07,10%,1.5,0.29,18%,1.57,0.29,18%,4,12.5km,1.07,45.57,38.71,13.79,13.57,5.14,0.21,0.71,0.07,0.79,0.93,2.21,12.57,0.64,2.21,0.57,40%,2.71,97%,85%,7.21,0.07,0.57,0.64,0.07
Wnt,  ,Oktay Gürdal,£45K  £140K,1.3,100,Swedish Premier Division,,,,6.4,0.23,55,,,0.04,,0.14,,0.14,0.29,25%,3.96,0.47,11%,1.98,0.23,12%,2,12.2km,1.51,44.48,38.54,13.04,14.32,3.84,0,0.47,0.12,0.47,0.7,2.79,12.23,0.35,1.98,0.82,62%,2.33,95%,87%,7.92,0,0.23,0.35,
Wnt,  ,Sven Smrekar,£230K  £700K,1.41,107,Hungarian Division I,,,,3.25,0.35,110,,,0.04,,0.02,,0.02,0.1,0%,1.6,0.18,14%,2.45,0.35,14%,12,12.3km,1.42,47.85,39.87,15.23,15.29,5.97,0.12,0.21,0,0.53,1.06,2.63,10.62,0.77,2.93,1.21,49%,3.22,83%,83%,8.7,0.06,0.12,0.77,0.06
Wnt,  ,Patrik Kovács,£950K  £2.8M,1.47,116,Hungarian Division I,,,,5.23,0.25,145,25%,"2,493.00",0.1,,0.01,0.04,0.01,0.07,25%,3.14,0.25,10%,2.31,0.25,11%,7,12.6km,1.19,47.04,40.47,15.88,12.2,6.5,0.11,0.14,0.04,1.3,1.66,2.42,17.47,1.3,1.95,0.65,60%,2.49,78%,86%,8.45,0.18,0.22,1.3,0.07
Wnt,  ,Givairo Read,£1M  £3.1M,1.88,126,Hungarian Division I,,,,5.93,0.36,247,6%,"3,750.00",0.08,,0.04,0.02,0.04,0.09,38%,4.22,0.82,12%,2.86,0.36,13%,15,12.8km,1.51,45.7,40.49,15.36,13.56,5.02,0.19,0.38,0.14,0.5,1.13,2.02,12.7,0.94,2.76,0.38,71%,2.76,78%,89%,8.71,0.12,0.12,0.94,0.05
,  ,Jonas Rouhi,£375K  £1.2M,1.38,109,Swedish Premier Division,,,,5.02,0.71,57,,,0.07,,0.01,,0.01,0.09,0%,3.17,0.26,36%,2.38,0.71,30%,8,12.3km,1.06,45.48,39.93,14.54,13.22,4.94,0,0.09,0,1.06,1.06,3.61,11.9,0.97,2.29,0.35,63%,2.12,75%,88%,9.26,0.18,0.44,0.97,0.09
Wnt,  ,Bjorn Meijer,£1.2M  £3.5M,1.81,126,Hungarian Division I,,,,4.62,0.42,120,14%,"2,338.00",0.13,,0.03,0.04,0.03,0.12,43%,2.96,0.58,15%,2.81,0.42,15%,11,11.6km,1.23,44.19,39.65,14.09,15.4,5.97,0.04,0.27,0.12,0.89,1.42,1.92,14.86,1.73,2.73,0.42,64%,3.2,86%,90%,8.7,0.15,0.08,1.77,0.19
Wnt,  ,Erik Kálmán Dankó,£350K  £1.1M,1.47,107,Hungarian Division I,,,,4.86,0.68,50,,,0.12,,0,,0,0,,3.02,0.39,28%,2.43,0.68,28%,7,13.0km,0.68,47.38,40.57,15.86,16.64,5.74,0,,,1.07,1.07,2.24,8.76,1.07,2.92,0.1,62%,3.5,88%,86%,9.34,0.19,0.39,1.07,
,  ,Gergő Vincze,£160K  £500K,1.42,107,Hungarian Division I,,,,4.2,0.44,154,,,0.02,,0.02,,0.02,0.14,33%,1.75,0.14,20%,2.13,0.44,21%,16,12.7km,1.58,48.27,41.62,15.79,15.16,6.33,0.03,0.16,0.05,1.06,1.2,3.22,13.85,0.79,1.91,0.3,42%,2.29,87%,86%,9,0.03,0.05,0.79,
,  ,Kasper Johansson,£30K  £90K,1.07,94,Swedish Premier Division,,,,4.59,0.95,63,,,0.04,,0,,0,0.02,0%,2.48,0.07,11%,8.31,0.95,11%,13,13.3km,1.46,32.46,28.3,15.17,22.9,3.35,0.07,0.07,0,0.66,1.31,2.26,8.31,0.88,1.75,0.8,54%,1.82,89%,87%,9.04,0.07,0.15,0.88,0.15
Wnt,  ,William Rashidi,£700K  £2.1M,1.5,125,Swedish Premier Division,,,,3.26,0.11,31,,,0.07,,0.11,,0.11,0.15,0%,1.79,0.11,3%,2.73,0.11,4%,1,13.1km,2.1,45.26,39.07,16.07,12.6,4.83,0.21,0.74,0,1.26,1.68,3.36,15.33,0.74,2.63,0.53,55%,2.42,77%,86%,8.82,0.32,0.11,0.74,
,  ,Tomas Hegab,£80K  £240K,1.14,107,Swedish Premier Division,,,,3.03,0.15,40,,,0,,0.1,,0.1,0.14,0%,1.21,0.15,5%,2.57,0.15,6%,2,12.8km,0.76,45.38,38.12,14.45,17.02,4.99,0.08,0.76,0,0.53,1.51,2.5,15.2,0.91,2.95,1.74,40%,2.87,75%,84%,8.7,0.15,0.08,0.91,0.08
Inj,  ,Roko Jurišić,£3.5K  £12K,1.03,98,Hungarian Division I,,,,5.06,0.25,143,,,0.08,,0.03,,0.03,0.14,17%,2.76,0.28,8%,2.97,0.25,8%,7,12.4km,1.06,45.25,37.71,14.23,16.53,5.59,0,0.21,0.04,0.74,1.56,2.02,8.18,1.06,2.8,0.89,55%,2.62,80%,83%,8.25,0.14,0.18,1.06,0.04
,  ,Alexander Jensen,Not for Sale,1.85,118,Swedish Premier Division,,,,3.92,0.31,51,,,0.17,,0.03,,0.03,0.06,0%,1.77,0.08,9%,3.23,0.31,10%,4,12.7km,0.85,44.23,37.62,16,10.85,4.92,0.15,0.54,0,0.69,1.15,2.69,17.69,0.85,1.92,0.77,45%,2,81%,85%,9,0.15,0.46,0.85,0.23
Inj,  ,Ionuţ Cercel,£375K  £1.1M,1.36,113,Hungarian Division I,,,,6.4,0.48,173,11%,811.33,0.04,,0.08,0.11,0.08,0.08,30%,3.33,0.59,20%,2.37,0.48,20%,13,12.1km,1.77,41.6,36.87,12.83,17.67,3.85,0.41,1,0.3,0.37,0.67,2.29,9.65,0.85,2,0.37,52%,1.92,81%,89%,9.17,0.04,0.07,0.85,0.04
Opt,  ,İsmail Çokçalış,£0,1.13,83,Hungarian Division I,,,,6.02,0.78,162,5%,"2,420.00",0.11,,0.09,0.04,0.09,0.12,30%,2.9,0.22,16%,6.06,0.86,14%,21,12.5km,0.89,46.26,39.42,14.54,13.8,4.54,0.15,0.74,0.22,0.3,1.49,2.01,10.41,0.89,2.12,0.56,48%,1.93,87%,85%,8,0.11,0.07,0.97,0.04
Res,  ,Yalen Meulendijks,£190K  £550K,1.55,111,Swedish Premier Division,,,,4.89,0.56,44,,,0.08,,0.03,,0.03,0.07,0%,4.11,1,17%,3.11,0.56,18%,5,11.8km,0.56,45.56,39.11,12.67,16.89,5.11,0.22,0.44,0,0.44,1.67,1.56,11.44,1.44,2.44,0.89,84%,3,93%,86%,7.22,0.22,0.11,1.44,
,  ,Cosimo Demontis,£375K  £1.1M,1.9,93,Hungarian Division I,,,,5.3,0.98,38,,,0.02,,0,,0,0,0%,2.93,0.28,26%,3.63,0.98,27%,7,11.9km,0.84,46.74,41.86,13.4,18.7,5.44,0.14,0.14,0,0.84,1.81,1.4,7.4,1.26,2.09,0.28,55%,2.09,83%,90%,7.26,0,,1.26,
,  ,Josh Acheampong,£220K  £650K,1.3,111,Swedish Premier Division,,,,4.67,0,31,,,0.02,,0.07,,0.07,0.11,25%,3.76,0.45,,0.6,0,0%,0,12.4km,0.75,46.35,38.08,13.85,17.16,5.57,0.15,0.6,0.15,0.75,1.96,2.41,12.49,1.35,3.01,0.9,81%,3.31,85%,82%,7.07,0.6,0.15,1.35,
,  ,Magnús Arnar Pétursson,£190K  £550K,1.33,96,Hungarian Division I,,,,8.29,0.11,150,14%,"1,628.00",0.01,,0.03,0.06,0.03,0.08,43%,6.25,0.94,6%,1.6,0.11,7%,2,11.0km,0.17,48.81,40.63,6.86,8.79,4.37,0.11,0.39,0.17,0.44,0.94,1.88,13.77,0.61,1.44,1.11,75%,1.49,90%,83%,4.48,0.17,0.06,0.61,0.06
Inj,  ,Nikolas Veratschnig,£800K  £2.5M,1.1,116,Swedish Premier Division,,,,4.11,0.87,38,,,0.1,,0.09,,0.09,0.82,0%,3.03,0.11,11%,7.57,0.87,11%,8,12.8km,1.95,37.1,29.1,15.36,17.42,3.14,0,0.11,0,0.54,1.84,3.25,11.47,1.41,3.35,0.54,74%,2.16,65%,78%,12.22,0.22,0.22,1.41,
,  ,Kyle WalkerPeters,£14K  £40K,1.22,93,Hungarian Division I,,,,4.7,0.19,76,,,0.06,,0.06,,0.06,0.14,14%,2.41,0.37,7%,2.54,0.19,7%,3,11.9km,0.8,44.63,39.55,15.41,13.18,5.88,0.12,0.43,0.06,0.25,1.11,2.04,12.94,0.99,2.23,0.99,51%,3.09,88%,89%,9.22,0.06,0.19,0.99,0.19
,  ,Yusi,£400K  £1.2M,0.85,103,Swedish Premier Division,,,,4.63,0.34,55,,,0.09,,0,,0,0,,2.61,0,15%,2.19,0.34,15%,4,13.3km,1.77,45.04,39.23,14.9,17.34,4.71,0,,,0.59,0.84,2.44,12.71,0.59,2.1,0.42,56%,2.02,80%,87%,8.67,0.17,0.17,0.59,0.17
,  ,Tim Olsson,£60K  £180K,1.2,98,Swedish Premier Division,,,,6,0.87,90,,,0.04,,0.03,,0.03,0.17,33%,3.8,0.53,25%,3.47,0.87,25%,13,12.6km,1.13,44.6,36.8,13.53,15.87,6.33,0,0.2,0.07,0.87,1.13,1.73,13.47,1.13,2.13,0.87,63%,2.53,95%,83%,7.93,0.13,0.07,1.13,0.07
,  ,Mads Maul,£100K  £300K,2,110,Swedish Premier Division,,,,5.17,0.22,48,,,0,,0,,0,0,,3.88,1.29,10%,2.05,0.22,11%,2,11.9km,0.22,48.83,42.14,12.72,15.2,5.28,0,,,0.32,1.62,2.16,14.23,1.29,2.37,0.97,75%,2.59,89%,86%,8.08,0,0.11,1.29,
,  ,Albin Gashi,£550K  £1.7M,1.67,113,Swedish Premier Division,,,,5.52,0.13,82,,,0.05,,0.04,,0.04,0.18,0%,3.71,0.61,6%,2.02,0.13,7%,2,12.2km,0.81,48.1,41.23,13.74,14.28,6.47,0.07,0.2,0,0.54,1.55,2.09,12.73,1.28,2.83,0.74,67%,3.17,90%,86%,9.09,0.2,0.27,1.28,
Lst,  ,Edoardo Tassone,£6K,1.72,106,Hungarian Division I,,,,4.22,0.39,76,,,0.02,,0,,0,0.03,0%,2,0.33,14%,2.61,0.39,15%,7,12.2km,0.89,46.5,40.44,15.28,14.44,5.44,0.06,0.06,0,0.44,0.94,2.72,11.83,0.83,3.06,1.11,47%,2.61,71%,87%,8.33,0.06,,0.83,0.06
,  ,Anton Kolbas,£220K  £650K,0.92,104,Hungarian Division I,,,,3.44,0.31,88,,,0.02,,0.01,,0.01,0.06,0%,1.68,0.16,12%,2.46,0.31,13%,8,13.0km,0.94,46.37,40.74,15.82,18.44,5.43,0.04,0.12,0,0.55,0.82,2.62,13.79,0.86,2.34,0.74,49%,2.89,82%,88%,9.02,0.12,0.04,0.86,0.04
Inj,  ,Mario Simuţ,£350K  £1.1M,1.7,104,Hungarian Division I,,,,5.67,0.16,104,10%,"1,651.00",0.13,,0.03,0.05,0.03,0.05,30%,3.82,0.44,5%,3.05,0.16,5%,3,12.6km,1.04,45.74,40.12,13.74,10.63,5.51,0.22,0.55,0.16,0.49,1.14,2.02,14.06,1.09,2.13,0.76,67%,2.51,82%,88%,8.01,0.05,0.11,1.25,0.11
,  ,Adam Herdonsson,£400K  £1.2M,1,99,Swedish Premier Division,,,,6.72,0.35,95,20%,"1,273.00",0.16,,0.02,0.07,0.02,0.06,20%,3.96,0.35,10%,3.39,0.35,10%,5,12.4km,1.41,46.66,40.58,14.21,13.15,5.87,0,0.35,0.07,0.57,2.26,1.56,13.08,1.34,2.69,0.92,59%,2.69,83%,87%,8.2,0.21,0.71,1.34,0.07
,  ,Håkon Sjåtil,£1M  £3.1M,1.71,118,Swedish Premier Division,,,,3.81,0.28,69,,,0.08,,0.06,,0.06,0.09,17%,1.49,0.17,10%,3.81,0.39,10%,5,12.1km,1.88,45.66,39.86,15.2,15.09,4.59,0.17,0.66,0.11,0.83,1.22,2.54,11.39,0.72,2.32,0.33,39%,2.27,82%,87%,8.62,0.17,0.17,0.72,0.06
,  ,Magnus Karlsson,£550K  £1.7M,1.23,118,Swedish Premier Division,,,,3.92,0.77,41,,,0.05,,0,,0,0,,2.1,0.19,12%,6.12,0.77,13%,8,13.7km,1.72,36.25,31.56,16.93,19.22,4.4,0,,,0.67,1.05,2.87,7.27,1.15,3.83,0.19,54%,3.35,83%,87%,13.87,0.29,0.1,1.15,0.1
Int,  ,Nilton Varela,£0,1.37,105,Hungarian Division I,,,,5.34,0.24,153,,,0.1,,0.02,,0.02,0.11,0%,3.42,0.42,9%,4.12,0.42,10%,7,12.1km,1.43,46.89,39.31,14.28,15.05,5.69,0.07,0.17,0,0.8,1.43,2.37,14.56,0.84,2.58,0.77,64%,3.14,83%,84%,9.32,0.21,0.14,0.84,0.07
,  ,Mamadi Bangoura,£170K  £500K,1.85,98,Hungarian Division I,,,,6.53,0.43,214,,,0.02,,0.05,,0.05,0.1,27%,3.76,0.4,16%,2.63,0.43,16%,14,12.5km,0.95,45.18,37.28,15.11,19.08,4.85,0.09,0.46,0.12,0.89,1.8,2.17,13.52,0.95,1.77,0.76,57%,2.01,87%,83%,7.51,0.24,0.03,0.95,0.06
,  ,Enzo Ebosse,£65K  £190K,2.35,109,Bulgarian First League,,,,6.47,0.13,145,,,0.06,,0.04,,0.04,0.13,29%,4.69,0.71,7%,1.83,0.13,7%,3,12.5km,0.76,50.31,43.08,12.14,9.38,5.62,0.09,0.31,0.09,0.45,1.34,2.1,14.64,0.54,2.23,0.8,72%,2.68,74%,86%,6.83,0.13,,0.54,0.04
Inj,  ,Philippe Boueye,£650K  £2M,1.39,109,Bulgarian First League,,,,6.14,0.18,138,,,0.06,,0.01,,0.01,0.03,10%,4.54,0.49,14%,1.25,0.18,14%,4,11.3km,0.13,57.97,52.36,5.96,5.25,3.83,0.31,0.44,0.04,0.49,1.25,1.91,13.88,0.4,1.56,0.36,74%,1.87,88%,90%,5.03,0.18,0.36,0.4,0.04
,  ,Jurgen Mehmetaj,£275K  £850K,1.15,109,PKO Bank Polski Ekstraklasa,,,,4.42,0.26,84,13%,"1,709.00",0.09,,0.06,0.05,0.06,0.15,38%,2.37,0.37,9%,2.79,0.26,9%,5,12.1km,0.79,45.29,39.34,14.9,14.06,4.53,0.16,0.42,0.16,0.37,1.37,2,11.8,0.68,2.53,0.68,54%,2.48,77%,87%,8.53,0.16,0.21,0.68,
,  ,Tayvon Gray,£650K  £1.9M,1.09,109,PKO Bank Polski Ekstraklasa,,,,4.73,0.33,101,18%,961.5,0.07,,0.08,0.09,0.08,0.16,18%,2.62,0.37,17%,1.83,0.33,18%,7,11.5km,1.26,46.33,40.06,12.68,13.29,5.2,0.05,0.51,0.09,0.75,1.08,3.23,11.75,0.75,2.2,0.84,55%,2.06,71%,86%,7.07,0.05,0.09,0.75,0.05
Wnt,  ,Igor Orlikowski,£210K  £600K,1.56,109,PKO Bank Polski Ekstraklasa,,,,7.12,0,191,,,0.05,,0.13,,0.13,0.18,21%,4.47,0.67,,0.26,0,0%,0,11.7km,0.34,54.1,47.35,7.42,6.15,4.03,0.19,0.71,0.15,0.67,1.49,1.42,14.06,0.37,1.04,0.82,63%,1.08,81%,88%,3.69,0.11,0.15,0.37,0.04
Int,  ,Ivan Turitsov,£170K  £500K,1.91,108,Bulgarian First League,,,,4.51,0.27,135,4%,"2,696.00",0.07,,0.13,0.03,0.1,0.14,14%,2.8,0.3,13%,1.97,0.27,14%,8,12.3km,1.03,46.64,40.56,14.32,11.78,4.14,0.23,0.93,0.13,0.97,1.47,2.5,12.79,0.77,2.04,0.87,62%,2,70%,87%,9.08,0.13,0.17,0.8,0.03
Wnt,  ,Ángel,£4K  £12K,0.82,108,PKO Bank Polski Ekstraklasa,,,,5.47,0.22,50,,,0.04,,0.04,,0.04,0.08,0%,3.39,0.55,9%,2.3,0.22,10%,2,12.7km,1.2,44.07,39.91,15.86,13.34,4.37,0.33,0.55,0,0.33,0.87,2.73,7.44,0.87,2.19,0.44,62%,2.73,89%,91%,8.09,0,,0.87,0.11
,  ,Rodrigo Rego,Not for Sale,1.25,108,PKO Bank Polski Ekstraklasa,,,,6.28,0.09,201,,,0.11,,0.06,,0.06,0.18,18%,4.15,0.59,25%,0.37,0.09,25%,3,11.6km,0.41,52.4,48.12,6.68,6.09,3.93,0.06,0.34,0.06,0.5,1.41,1.66,13.74,0.37,1.59,0.62,66%,1.47,77%,92%,4.72,0.31,0.12,0.37,0.03
Wnt,  ,Gracjan Wróbel,£45K  £130K,0.97,108,PKO Bank Polski Ekstraklasa,,,,4.19,0.28,148,,,0.04,,0.06,,0.06,0.09,17%,1.75,0.2,11%,2.43,0.28,12%,10,12.8km,1.19,46.29,41.08,17.71,13.21,4.7,0.25,0.65,0.11,0.57,1.19,2.07,11.52,0.88,2.12,1.58,42%,2.4,86%,89%,8.52,0.14,0.11,0.88,0.08
,  ,Hugo Boutsingkham,£550K  £1.7M,1,107,Bulgarian First League,,,,4.28,0.13,136,,,0.08,,0.03,,0.03,0.1,0%,2.24,0.22,6%,1.92,0.13,7%,4,12.7km,0.88,44.18,39.87,14.39,12.12,5.23,0.09,0.28,0,0.98,1.32,1.89,13.16,1.23,2.61,0.82,52%,3.21,85%,90%,8.63,0.22,0.22,1.23,0.09
,  ,Steven Baseya,£170K  £500K,1,106,Bulgarian First League,,,,5.42,0.33,164,7%,"2,722.00",0.09,,0.04,0.03,0.04,0.08,29%,3.34,0.6,13%,2.41,0.33,14%,10,12.0km,1.09,46.88,41.73,12.66,17.06,5.52,0.13,0.46,0.13,0.63,1.02,2.25,10.84,0.63,2.28,0.96,62%,2.35,80%,89%,7.74,0.17,0.13,0.63,0.07
,  ,Hugo Rincón,£275K  £800K,1.45,106,PKO Bank Polski Ekstraklasa,,,,6.35,0.32,159,7%,"2,255.00",0.15,,0.11,0.04,0.11,0.2,21%,4.07,0.56,14%,2.27,0.32,14%,8,13.0km,1.52,46.06,40.23,14.53,14.37,4.07,0.16,0.56,0.12,0.64,1.2,2.75,14.29,0.56,2.43,1.08,64%,2.71,89%,87%,8.18,0.08,0.2,0.56,0.08
,  ,Giuseppe Aurelio,£0,1.25,105,Bulgarian First League,,,,5.44,0.22,49,,,0.03,,0.01,,0.01,0.09,0%,3.11,0.78,11%,1.89,0.22,12%,2,13.2km,1,45.89,39,15.33,15.78,6.44,0.11,0.11,0,0.33,0.89,2.44,10.67,0.67,1.67,1,57%,3.44,86%,85%,8.89,0,,0.67,0.11
,  ,Ismaël Boura,£10K  £30K,1.4,105,Bulgarian First League,,,,4.27,0.37,70,25%,"1,477.00",0.07,,0.04,0.06,0.04,0.18,25%,2.32,0.18,16%,2.25,0.37,16%,6,12.6km,1.46,47.71,40.64,14.62,14.93,6.28,0.06,0.24,0.06,0.79,1.34,2.5,11.33,0.67,2.38,0.43,54%,2.86,84%,85%,8.65,0.12,0.24,1.1,
,  ,Enzo Parent El Fattahi,£425K  £1.3M,1.16,105,Bulgarian First League,,,,4.16,0.29,129,,,0.05,,0.03,,0.03,0.07,17%,2.06,0.16,11%,2.58,0.29,11%,9,12.5km,0.84,46.65,40.81,14.35,15.68,5.77,0.16,0.39,0.06,0.65,1.26,2.32,10.84,0.81,2.42,0.42,50%,2.39,75%,87%,9,0.06,0.16,0.81,
,  ,Joachim Eisele,£230K  £700K,1.56,105,PKO Bank Polski Ekstraklasa,,,,4.88,0.42,104,5%,958.5,0.07,,0.17,0.09,0.17,0.1,16%,0.94,0.09,15%,2.77,0.42,15%,9,12.2km,2.49,32.82,27.09,12.77,15.12,2.44,0.7,1.74,0.28,0.38,0.8,2.02,3.24,0.89,2.77,0,19%,1.97,78%,83%,11.6,0,0.05,0.89,0.05
,  ,Lander Arenal,£8K  £22K,1.5,105,Bulgarian First League,,,,6.32,0.15,41,,,0.23,,0.09,,0.09,0.14,0%,3.85,0.46,12%,1.23,0.15,13%,1,12.6km,0.46,46.08,39.45,14.49,16.95,4.62,0,0.62,0,1.23,1.39,2.31,13.56,1.23,3.39,0.15,61%,3.54,70%,86%,11.25,0.77,,1.23,0.15
Wnt,  ,Jaden Korzynietz,£475K  £1.4M,1.09,105,PKO Bank Polski Ekstraklasa,,,,5.38,0.28,176,,,0.02,,0.03,,0.03,0.21,50%,2.85,0.28,11%,2.42,0.28,11%,9,12.6km,1.13,47.75,41.63,14.47,17.16,6,0,0.12,0.06,0.98,1.56,2.26,13.58,1.16,3,0.43,53%,3.27,87%,87%,8.38,0.15,0.09,1.16,0.06
,  ,Amadou N'Diaye,£425K  £1.3M,1.5,105,Bulgarian First League,,,,3.19,0.74,91,,,0.15,,0.02,,0.02,0.12,25%,1.05,0.04,18%,4.04,0.74,18%,21,13.0km,1.51,41,34.43,13.69,15.51,2.95,0.04,0.14,0.04,1.05,1.3,3.55,11.06,0.91,2.63,0.28,33%,2.46,75%,84%,11.58,0.14,0.04,0.91,0.18
,  ,Licínio Azevedo,£140K  £425K,1.09,104,Bulgarian First League,,,,4.54,0.42,43,,,0.04,,0.06,,0.06,0.08,14%,2.95,0.32,20%,2.11,0.42,20%,4,13.3km,1.16,44.95,39.04,14.88,17.62,4.85,0.21,0.74,0.11,0.32,1.27,1.9,11.18,0.84,2.53,0.11,65%,3.48,97%,87%,8.23,0.11,,0.84,
